ResourceID,Actor Type,Actor Type From Date,Actor Type To Date,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Appellation,Appellation Type,Cadastral Reference,Cultural Period,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Keyword,Place Address,Place Description,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type
76a2400d-24e2-4bb0-a288-790200db2561,Noble (Aristocrat),,,,,,Henry Ford,Primary,,,"Henry Ford was an American industrialist, the founder of the Ford Motor Company, and the sponsor of the development of the assembly line technique of mass production. Although Ford did not invent the automobile or the assembly line, he developed and manufactured the first automobile that many middle class Americans could afford. In doing so, Ford converted the automobile from an expensive curiosity into a practical conveyance, that would profoundly impact the landscape of the twentieth century. His introduction of the Model T automobile revolutionized transportation and American industry. As the owner of the Ford Motor Company, he became one of the richest and best-known people in the world. He is credited with 'Fordism': mass production of inexpensive goods coupled with high wages for workers. Ford had a global vision, with consumerism as the key to peace. His intense commitment to systematically lowering costs resulted in many technical and business innovations, including a franchise system that put dealerships throughout most of North America and in major cities on six continents. Ford left most of his vast wealth to the Ford Foundation and arranged for his family to control the company permanently.",Primary,,,,Processing ID,PERS-00002,,,,,,1863-07-30,Birth Date
790d2136-6c82-4a9b-8eb6-6941a814c941,Prince,,,,,,Ahmose,Primary,,,,,,,,,,,,,,,,
7f6c920f-50d6-4323-b9ae-682c2121dd72,Architecture/Design Firm or Partnership,,,,,,Curlett & Beelman,Primary,,,,,,,,Processing ID,ARCH-00095,,,,,,,
87c9460b-96b8-42fa-8da8-3e5b251fd769,Surveying Firm,,,Primary,,,Architectural Resources Group,Primary,,,,,,,,Processing ID,SURV-00004,,,"8 Mills Pl, Pasadena, CA 91105",,,,
87c9460b-96b8-42fa-8da8-3e5b251fd769,,,,,,,,,,,,,,,,URL,http://www.argsf.com,,,,,,,
8aa4abd3-e618-431e-9110-704e9bb7c5aa,Architect/Designer,,,,,,Eric Lloyd Wright,Primary,,,"Eric Lloyd Wright is an American architect, son of Lloyd Wright (Frank Lloyd Wright, Jr) and the grandson of the famed Frank Lloyd Wright. Wright was born in Los Angeles on November 9, 1929 to Helen Taggart and Lloyd Wright. His father was a landscape architect and architect who was the eldest son of Frank Lloyd Wright Sr. Educated at the University of California, Los Angeles, Eric worked in his grandfather's (1948-1956) and father's (1956-1978) firm as an apprentice. He received his license as an architect in 1967 before establishing his own firm Eric Lloyd Wright Architects and Planners in 1978.",Primary,,,,Processing ID,ARCH-00133,,,,,,,
8ca44276-d7ad-4d10-ae18-9e3591b328fc,Pharaoh,,,,,,Ramesses the Great,Alternative,,,"Ramesses II, also known as Ramesses the Great, was the third pharaoh of the Nineteenth Dynasty of Egypt. He is often regarded as the greatest, most celebrated, and most powerful pharaoh of the Egyptian Empire.",Primary,,,,,,,,,,,,
8ca44276-d7ad-4d10-ae18-9e3591b328fc,,,,,,,Rameses II,Primary,,,,,,,,,,,,,,,,
8d38da25-c387-4353-a661-54d54259b6ae,Princess,,,,,,Nebettauy,Primary,,,,,,,,,,,,,,,,
8d38da25-c387-4353-a661-54d54259b6ae,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
8ec093ed-013e-408c-8de0-a2d2022ce3bc,Construction Company,,,,,,Hubbard & Gardner,Primary,,,,,,,,Processing ID,BLDR-00084,,,,,,,
8f3b74ef-8515-460c-b825-4d2621232cc1,Princess,,,,,,Merytra (I),Primary,,,,,,,,,,,,,,,,
92a454d1-c06f-4eb3-8144-aa2491bba8e3,,,,,,,Golden State Mutual Life Insurance Co.,Primary,,,,,,,,Processing ID,OWNR-00121,,,,,,,
99367379-e478-4a10-be2f-90f7a2c5bb9b,Princess,,,,,,Anonymous Princess-Queen,Primary,,,,,,,,,,,,,,,,
99367379-e478-4a10-be2f-90f7a2c5bb9b,,,,,,,Anonymous Princess-Queen,Primary,,,,,,,,,,,,,,,,
99367379-e478-4a10-be2f-90f7a2c5bb9b,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
9bfff8a6-a48a-44cc-97a2-b880135ec31b,Architect/Designer,,,,,,Craig Ellwood,Primary,,,"Craig Ellwood (April 22, 1922GÇôMay 30, 1992) was an influential Los Angeles-based modernist architect whose career spanned the early 1950s through the mid-1970s. Although untrained as an architect, Ellwood fashioned a persona and career through equal parts of a talent for good design, self-promotion and ambition. He was recognized professionally for fusing of the formalism of Mies van der Rohe with the informal style of California modernism.",Primary,,,,Processing ID,ARCH-00094,,,,,,1922-04-22,Birth Date
9c6afe50-15a6-46d3-ae63-1a3bef27351e,Prince,,,,,,Sethherkhepshef,Primary,,,,,,,,,,,,,,,,
9dd0a183-aef1-4245-bb75-a092f43ebf06,,,,,,,Aline Barnsdall,Primary,,,,,,,,Processing ID,SIGP-00094,,,,,,,
9e4977d8-2aa0-4986-bf15-1009630dc104,,,,,,,Sumner P. Hunt,Primary,,,,,,,,Processing ID,ARCH-00641,,,,,,,
9f4ae005-cd71-483f-ab14-f2bef0853b49,Queen (Person),,,,,,Henutmira,Primary,,,,,,,,,,,,,,,,
9f4ae005-cd71-483f-ab14-f2bef0853b49,Princess,,,,,,,,,,,,,,,,,,,,,,,
9f766bb8-c537-4ef3-b437-df08a1fbe5ab,Princess,,,,,,Tanedjemy,Primary,,,,,,,,,,,,,,,,
9f766bb8-c537-4ef3-b437-df08a1fbe5ab,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
a085bbe1-93b4-4cde-870f-649d029cf1bc,,,,,,,Jose Chapman,Primary,,,,,,,,Processing ID,BLDR-00290,,,,,,,
a230fbc8-c0d5-4152-8f13-a5e3a15f337a,,,,,,,Anais Nin,Primary,,,,,,,,Processing ID,SIGP-00096,,,,,,,
a242ee83-e3c8-496e-93fb-fb0390a5a2bc,Architect/Designer,,,,,,Pierre Koenig,Primary,,,"Pierre Francis Koenig (October 17, 1925 GÇô April 4, 2004) was an American architect. The son of a salesman, Koenig was born in San Francisco. The family moved to Southern California in 1939. After returning from a four-year tour in the Army during World War II, he enrolled at the University of Southern California architecture school. He received his B.Arch. in 1952. Koenig worked with Raphael Soriano, among others, and began private practice in 1952. Koenig practiced mainly on the West Coast and was most notable for the design of the Case Study Houses No. 21 and 22 in 1960. Both 21 (the Bailey House) and 22 (the Stahl House) were constructed on dramatic, otherwise-unbuildable sites. Particularly the Case Study House #22, photographed by Julius Shulman, is widely considered the iconic postwar L.A. home, with its sweeping city views and openness to the outdoors. Koenig died of leukemia in 2004 at 78.",Primary,,,,Processing ID,ARCH-00315,,,,,,,
a4c37f8c-f38f-4503-9082-de18667e0a22,,,,,,,David Bernicker,Primary,,,,,,,,Processing ID,ARCH-00488,,,,,,,
a6da4612-50c4-4cf5-bfd7-8014760dec95,,,,,,,Imenousekhet,Primary,,,,,,,,,,,,,,,,
aa152896-d427-4740-ae8c-5a12125b71bb,,,,,,,Carlotta Stahl,Primary,,,,,,,,Processing ID,OWNR-00519,,,,,,,
b3e83e62-3660-4617-84cc-7c4e191ad686,Princess,,,,,,Ahmose,Primary,,,,,,,,,,,,,,,,
b66e4d3f-18ec-4b5f-a9c6-62a9354bdef0,Princess,,,,,,Urmerutes,Primary,,,,,,,,,,,,,,,,
b8c0f7eb-dd45-4cc2-be00-43c3990cf14d,Construction Company,,,,,,Stone Fisher Construction,Primary,,,,,,,,Processing ID,BLDR-00171,,,,,,,
bb0f01ed-ac35-409e-8dd4-710877ac7b3c,,,,,,,Elijah Hook Workman,Primary,,,,,,,,Processing ID,SIGP-00125,,,,,,,
bc1375be-a1c9-497e-addd-5eabc4843eb8,,,,,,,George H. Wyman,Primary,,,,,,,,Processing ID,ARCH-00531,,,,,,,
bdb47ba7-35b7-4dcd-b2e5-21a5159f5726,Archaeologist,,,,,,Thomas Alva Edison,Primary,,,"Thomas Alva Edison was an American inventor and businessman. He developed many devices that greatly influenced life around the world, including the phonograph, the motion picture camera, and the long-lasting, practical electric light bulb. Dubbed 'The Wizard of Menlo Park', he was one of the first inventors to apply the principles of mass production and large-scale teamwork to the process of invention, and because of that, he is often credited with the creation of the first industrial research laboratory. Edison was a prolific inventor, holding 1,093 US patents in his name, as well as many patents in the United Kingdom, France, and Germany. More significant than the number of Edison's patents was the widespread impact of his inventions: electric light and power utilities, sound recording, and motion pictures all established major new industries world-wide. Edison's inventions contributed to mass communication and, in particular, telecommunications. These included a stock ticker, a mechanical vote recorder, a battery for an electric car, electrical power, recorded music and motion pictures.",Primary,,,,Processing ID,PERS-00001,,,,,,1847-02-11,Birth Date
c1839e89-44ca-4f60-8588-11aff43373dd,Architect/Designer,,,,,,Frederick Roehrig,Primary,,,,,,,,Processing ID,ARCH-00151,,,,,,,
c2027a89-d00a-4a6f-a259-3800ab16d6ce,Surveying Firm,,,Primary,,,Galvin Preservation Associates,Primary,,,,,,,,Processing ID,SURV-00003,,,"231 California Street, El Segundo, CA 90245",,,,
c2027a89-d00a-4a6f-a259-3800ab16d6ce,,,,,,,,,,,,,,,,URL,http://www.gpaconsulting-us.com/,,,,,,,
c296fac9-12fb-4cbe-b95f-27b1c51eccf9,Architecture/Design Firm or Partnership,,,,,,Austin-Brown,Primary,,,,,,,,Processing ID,ARCH-00043,,,,,,,
c4aab530-c8cd-4643-82bf-0cefc2f99871,,,,,,,Nebiri,Primary,,,,,,,,,,,,,,,,
c85fd34f-5fbf-4e87-a49f-62bc8cd5e01a,Princess,,,,,,Princess Hatneferet,Primary,,,,,,,,,,,,,,,,
c8f1b41b-0dda-45cc-ab70-9eaaa1eb1f65,,,,,,,Felipe de Neve,Primary,,,,,,,,Processing ID,SIGP-00128,,,,,,,
c91ed981-c66a-489d-843d-21891ac1de8d,Queen (Person),,,,,,Tyti,Primary,,,,,,,,,,,,,,,,
cbd8fcab-c842-4913-8baf-51669cdfd935,,,,,,,Henry Salzman,Primary,,,,,,,,Processing ID,OWNR-00138,,,,,,,
d3629d54-7d19-4c96-89a9-e46a48e8ac04,Princess,,,,,,Anonymous Princess,Primary,,,,,,,,,,,,,,,,
d5699e20-dc3d-4b8d-bc95-b120e0b69e36,Queen (Person),,,,,,Henuttauy,Primary,,,,,,,,,,,,,,,,
d5699e20-dc3d-4b8d-bc95-b120e0b69e36,Princess,,,,,,,,,,,,,,,,,,,,,,,
d61127a9-6672-4834-ad04-be1bfb444018,Queen (Person),,,,,,Satra,Primary,,,,,,,,,,,,,,,,
dae24266-ce41-4ec1-b14f-444546b6dced,,,,,,,Cornelius Van der Leeuw,Primary,,,,,,,,Processing ID,SIGP-00119,,,,,,,
df07650c-44d9-43e8-8fb3-7ce060536152,Pharaoh,,,,,,Seti I,Primary,,,"Seti I was a pharaoh of the New Kingdom Nineteenth Dynasty of Egypt, the son of Ramesses I and Satra, and the father of Ramesses II.",Primary,,,,,,,,,,,,
e0dfe6e8-2f5b-481b-a9cf-017ee6922180,Princess,,,,,,Anonymous Princess,Primary,,,,,,,,,,,,,,,,
e0dfe6e8-2f5b-481b-a9cf-017ee6922180,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
e129af22-e09e-45bd-9e7a-b402df73b8e9,,,,,,,Frank Lloyd Wright,Primary,,,"Architect, draftsman, furniture and interior designer and author, Wright is internationally recognized as one of the most important figures in 20th century architecture. However, unlike other architects whose success and reputation are measured in part by the dispersal of their ideals into the everyday landscape, Wright remained an individualist who made only a slight impact on the evolution of 20th century architecture. Instead, his fame is derived from its intuitive ability to mold space within an environment and within space itself. He is best known for his 'Prairie style' homes, efficient office buildings, and innovative furniture and chinaware designs. American architect.",Primary,,,,Processing ID,ARCH-00511,,,,,,1867-06-08,Birth Date
e15ec21f-8ed6-4a21-b18f-09c54245eea8,Pharaoh,,,,,,Rameses I,Primary,,,Menpehtyre Ramesses I was the founding pharaoh of ancient Egypt's 19th dynasty. The dates for his short reign are not completely known but the time-line of late 1292GÇô1290 BC is frequently cited as well as 1295GÇô1294 BC.,Primary,,,,,,,,,,,,
e15ec21f-8ed6-4a21-b18f-09c54245eea8,,,,,,,Menpehtyre Ramesses I,Alternative,,,,,,,,,,,,,,,,
e15ec21f-8ed6-4a21-b18f-09c54245eea8,,,,,,,Amenhotep,Primary,,,,,,,,,,,,,,,,
e15ec21f-8ed6-4a21-b18f-09c54245eea8,Prince,,,,,,,,,,,,,,,,,,,,,,,
e57d6934-f0c6-4934-865c-0c1c02cca2db,,,,,,,Huntington Hartford,Primary,,,,,,,,Processing ID,SIGP-00148,,,,,,,
ea2d7788-54cd-4984-9409-f01b887e90fd,,,,,,,Nehesy,Primary,,,,,,,,,,,,,,,,
eca2c8b8-4d97-4a4c-b384-c21a937532c4,Pharaoh,,,,,,Rameses III,Primary,,,Ramesses III was the second Pharaoh of the Twentieth Dynasty and is considered to be the last New Kingdom king to wield any substantial authority over Egypt.,Primary,,,,,,,,,,,,
eed0c6cc-a085-4b92-b626-ce3db5c2a963,Prince,,,,,,Prince Hori,Primary,,,,,,,,,,,,,,,,
ef520c49-8655-477f-ae12-335c83495a30,Judge,,,,,,Imhotep,Primary,,,,,,,,,,,,,,,,
ef520c49-8655-477f-ae12-335c83495a30,Vizier (Officer),,,,,,,,,,,,,,,,,,,,,,,
ef520c49-8655-477f-ae12-335c83495a30,Governor,,,,,,,,,,,,,,,,,,,,,,,
f301bf4e-74f7-42fe-9dc2-a3d862749765,Prince,,,,,,Minemhat,Primary,,,,,,,,,,,,,,,,
f520b1c2-7db2-4a8f-a134-33707598ce04,,,,,,,Robert J. Brady,Primary,,,,,,,,Processing ID,BLDR-00339,,,,,,,
f6e99a27-e203-4d3e-8950-7f6f616d1d92,,,,,,,Joseph Nicolosi,Primary,,,,,,,,Processing ID,SIGP-00219,,,,,,,
f8563961-90f7-4f82-a99b-541d921dba49,,,,,,,Lewis L. Bradbury,Primary,,,,,,,,Processing ID,SIGP-00164,,,,,,,
f928e03a-901c-4404-9368-0d26347d681a,,,,,,,Rupert Pole,Primary,,,,,,,,Processing ID,SIGP-00198,,,,,,,
fb573a88-ae87-4fb4-b0e6-1f4b860a6b31,,,,,,,Johnny Weissmuller,Primary,,,,,,,,Processing ID,SIGP-00221,,,,,,,
fc59bd97-d01d-490b-8635-5515ec49cdfe,Princess,,,,,,Merytamen,Primary,,,,,,,,,,,,,,,,
fc59bd97-d01d-490b-8635-5515ec49cdfe,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
